0.505319	0.2	0.113695	0.228261	0.281259	0.690476	1	0	chevrolet cavalier	0.579946
0.585106	0.2	0.113695	0.211957	0.272753	0.488095	1	0	pontiac j2000 se hatchback	0.57904
0.651596	0.2	0.077519	0.201087	0.13099	0.470238	0.583333	0	dodge colt m/m	0.522063
0.558511	0.2	0.05168	0.163043	0.128154	0.386905	0.083333	0.5	fiat 124b	0.462133
0.452128	0.2	0.136951	0.36413	0.17607	0.267857	0	0.5	bmw 2002	0.403855
0.132979	1	0.857881	0.701087	0.808336	0.208333	0.083333	0	pontiac catalina brougham	0.061673
0.398936	0.2	0.186047	0.25	0.354976	0.5	1	0	ford fairmont futura	0.553864
0.37766	0.2	0.22739	0.320652	0.320953	0.517857	0.666667	0	plymouth sapporo	0.479686
0.332447	0.6	0.421189	0.375	0.462716	0.440476	0.75	0	pontiac lemans v6	0.392781
0.37234	0.2	0.121447	0.266304	0.306493	0.416667	0.416667	0.5	audi 100ls	0.475073
0.667553	0.2	0.046512	0.103261	0.102637	0.428571	0.75	1	maxda glc deluxe	0.647313
0.37234	0.2	0.134367	0.277174	0.25319	0.386905	0.166667	1	toyouta corona mark ii (sw)	0.474013
0.946809	0.2	0.059432	0.11413	0.067196	0.345238	0.833333	1	honda civic 1500 gl	0.666007
0.452128	0.2	0.072351	0.125	0.163312	0.595238	0.166667	0.5	renault 12 (sw)	0.479528
0.664894	0.2	0.103359	0.130435	0.179189	0.529762	1	1	toyota corolla	0.677467
0.079787	1	0.728682	0.619565	0.806067	0.327381	0.166667	0	oldsmobile delta 88 royale	0.103509
0.132979	1	0.645995	0.565217	0.743975	0.386905	0.25	0	plymouth fury gran sedan	0.146369
0.239362	0.6	0.26615	0.277174	0.388716	0.386905	0.416667	0	ford pinto	0.347925
0.159574	1	0.832041	0.782609	0.63425	0.029762	0	0	amc ambassador dpl	0.063842
0.412234	0.2	0.21447	0.228261	0.319535	0.47619	0.583333	0	pontiac sunbird coupe	0.473435
0.297872	0.6	0.341085	0.228261	0.410264	0.541667	0.916667	0	ford granada gl	0.462045
0.553191	0.2	0.170543	0.23913	0.311313	0.446429	0.833333	1	toyota corona liftback	0.60222
0.601064	0.2	0.134367	0.152174	0.289765	0.613095	0.916667	1	mazda 626	0.639423
0.845745	0.2	0.043928	0.103261	0.140913	0.666667	0.833333	1	datsun 210	0.666091
0.231383	0.6	0.421189	0.646739	0.519422	0.321429	0.666667	0	buick regal sport coupe (turbo)	0.334303
0.271277	1	0.514212	0.429348	0.564786	0.416667	0.75	0	chevrolet malibu classic (sw)	0.307155
0.398936	0.6	0.341085	0.190217	0.396654	0.571429	0.5	0	ford maverick	0.372694
0.106383	1	0.728682	0.701087	0.705132	0.297619	0.25	0	buick century 350	0.127723
0.159574	0.6	0.490956	0.347826	0.600227	0.654762	0.416667	0	amc matador	0.278919
0.106383	1	0.857881	0.782609	0.796428	0.267857	0.166667	0	chrysler newport royal	0.072931
0.773936	0.2	0.054264	0.076087	0.100652	0.642857	0.833333	1	toyota corolla tercel	0.671114
0.212766	0.6	0.245478	0.429348	0.432946	0.333333	0.666667	0.5	volvo 264gl	0.427749
0.18617	1	0.857881	0.728261	0.739155	0.184524	0.583333	0	pontiac grand prix lj	0.171207
0.763298	0.2	0.054264	0.086957	0.123901	0.553571	0.916667	1	toyota tercel	0.681262
0.771277	0.2	0.059432	0.11413	0.108307	0.488095	1	1	datsun 310 gx	0.696037
0.452128	0.2	0.074935	0.157609	0.18486	0.607143	0.583333	1	toyota corolla liftback	0.594313
0.106383	1	0.604651	0.451087	0.441168	0.238095	0.416667	0	ford mustang ii	0.244241
0.319149	0.6	0.338501	0.23913	0.293451	0.416667	0	0	amc gremlin	0.2955
0.159574	1	0.932817	0.826087	0.773462	0.119048	0	0	ford galaxie 500	0.02571
0.505319	0.2	0.100775	0.217391	0.241282	0.446429	0.5	0.5	fiat 131	0.518676
0.468085	0.2	0.21447	0.206522	0.289765	0.5	0.916667	0	buick skylark	0.533271
0.172872	1	0.728682	0.673913	0.723561	0.202381	0.583333	0	chevrolet monte carlo landau	0.209519
0.159574	1	0.609819	0.565217	0.646158	0.267857	0.166667	0	amc matador (sw)	0.14411
0.651596	0.2	0.21447	0.23913	0.267366	0.309524	0.75	0	pontiac phoenix	0.515503
0.593085	0.2	0.134367	0.157609	0.263397	0.565476	0.833333	1	mazda 626	0.625248
0.37234	1	0.728682	0.429348	0.648426	0.559524	0.75	0	cadillac eldorado	0.273731
0.159574	0.6	0.470284	0.141304	0.438049	0.684524	0.416667	0	ford maverick	0.342864
0.553191	0.2	0.054264	0.086957	0.065778	0.434524	0.833333	0.5	vokswagen rabbit	0.634897
0.276596	1	0.645995	0.51087	0.601644	0.309524	0.666667	0	dodge diplomat	0.259211
0.771277	0.2	0.059432	0.11413	0.099802	0.416667	1	1	honda civic	0.682756
0.797872	0.2	0.046512	0.097826	0.074284	0.5	0.916667	0	plymouth champ	0.614768
0.292553	0.6	0.22739	0.413043	0.338531	0.327381	0.25	1	toyota mark ii	0.394401
0.585106	0.2	0.020672	0.032609	0.010207	0.505952	0.333333	1	toyota corona	0.587724
0.585106	0.2	0.007752	0.103261	0.045364	0.654762	0.083333	1	toyota corolla 1200	0.529238
0.292553	0.2	0.074935	0.228261	0.188829	0.654762	0.25	1	toyota carina	0.518773
0.478723	0.2	0.074935	0.228261	0.146583	0.386905	0	1	datsun pl510	0.474432
0.239362	0.6	0.405685	0.266304	0.615821	0.654762	0.416667	0	plymouth fury	0.316894
0.199468	1	0.731266	0.5	0.66402	0.309524	0.75	0	mercury grand marquis	0.258127
0.718085	0.2	0.134367	0.228261	0.155089	0.386905	1	1	nissan stanza xe	0.666017
0.452128	0.2	0.139535	0.184783	0.237596	0.505952	0.333333	0	ford pinto	0.434315
0.106383	1	0.728682	0.538043	0.692373	0.238095	0.5	0	chevy c10	0.197133
0.228723	0.6	0.405685	0.211957	0.525092	0.511905	0.916667	0	chrysler lebaron salon	0.437299
0.664894	0.2	0.113695	0.228261	0.221718	0.595238	1	0	chevrolet cavalier 2-door	0.587945
0.159574	1	0.604651	0.456522	0.76042	0.410714	0.583333	0	mercury cougar brougham	0.228073
0.132979	1	0.645995	0.565217	0.703998	0.297619	0.083333	0	plymouth fury iii	0.107457
0.406915	0.2	0.21447	0.23913	0.394103	0.720238	0.833333	0	amc concord	0.501643
0.930851	0.2	0.074935	0.032609	0.146583	0.988095	1	0.5	vw pickup	0.670381
0.37234	0.2	0.074935	0.043478	0.181741	0.922619	0.166667	0.5	volkswagen type 3	0.491702
0.585106	0.2	0.131783	0.195652	0.313864	0.678571	1	0	chevy s-10	0.575925
0.106383	1	0.96124	0.918478	0.885172	0.178571	0.25	0	chrysler new yorker brougham	0.048045
0.242021	0.6	0.490956	0.402174	0.509498	0.422619	0.666667	0	amc concord d/l	0.357318
0.585106	0.2	0.028424	0.11413	0.109725	0.47619	0.333333	0.5	fiat x1.9	0.525936
0.62234	0.2	0.100775	0.141304	0.191948	0.535714	0.833333	1	honda accord	0.634006
0.744681	0.2	0.043928	0.103261	0.102637	0.678571	0.916667	1	datsun 210 mpg	0.686626
